beat_index,wave_type,sample_index,timestamp,voltage
0,R,25,0.1970529556274414,1.5829677492838732
0,Q,12,0.0954887866973877,0.6772226119490479
0,S,40,0.3142375946044922,0.8828405895823828
0,P,9,0.0720558166503906,0.9522635146011981
0,P_ON,3,0.0251696109771728,0.8849364722939728
0,T,43,0.3376834392547607,1.43989455786777
0,T_OFF,101,0.7909567356109619,0.5481770406283827
1,R,153,1.1972033977508545,0.7087918692810646
1,Q,135,1.056572437286377,-0.3333496463750904
1,S,168,1.314382791519165,-0.2974714676147429
1,P,132,1.033139944076538,0.2939355517637739
1,P_ON,106,0.8300161361694336,0.3350944294059131
1,T,173,1.3534526824951172,0.2495266306659925
1,T_OFF,182,1.4237611293792725,-0.29875253853227035
2,R,376,2.939391851425171,0.520304657186558
2,Q,363,2.83782958984375,-0.4466109235833866
2,S,380,2.9706411361694336,-0.5539870178388332
2,P,360,2.814398288726806,0.03113764809299787
2,P_ON,358,2.798781633377075,-0.13224982268431498
2,T,394,3.080011367797852,0.14676736657180503
2,T_OFF,419,3.275359630584717,-0.08783978783964527
3,R,570,4.4550416469573975,0.6388592277121763
3,Q,550,4.298786401748657,-0.5142583270153873
3,S,573,4.478454113006592,-0.631721071553997
3,P,517,4.0409095287323,0.22199193978909532
3,P_ON,508,3.970635890960693,0.16319725696177276
3,T,617,4.822198390960693,0.15615708528716027
3,T_OFF,641,5.00970721244812,-0.3488229416043192
4,R,751,5.869088888168335,1.2245274478936545
4,Q,732,5.720638751983643,-1.2147520748596183
4,S,760,5.939335107803345,-0.40229620643473263
4,P,692,5.408159017562866,0.30204259355465685
4,P_ON,687,5.369352340698242,-0.07395929565257435
4,T,805,6.290956497192383,0.5170970301828549
4,T_OFF,836,6.533141136169434,-0.02386474080858967
5,R,927,7.2440712451934814,1.633616280776782
5,Q,914,7.142516613006592,0.024063370325624316
5,S,936,7.314385890960693,0.5268578340929381
5,P,911,7.119079113006592,0.7242556260844761
5,P_ON,903,7.056581497192383,0.4350950021129237
5,T,940,7.34563946723938,1.2912717031194263
5,T_OFF,963,7.525374889373779,0.606500926188195
6,R,1277,9.97845196723938,5.751094533873143
6,Q,1259,9.837789297103882,3.3858645848409408
6,S,1280,10.001885890960692,0.6763441098709451
6,P,1256,9.814346313476562,3.484984179355521
6,P_ON,1232,9.626892566680908,0.92454839935974
