Timestamp,LO_plus,LO_minus,Raw_ADC,Voltage_mV
0.010994434356689453,0,0,25669,1604.312
0.012212276458740234,0,0,25669,1604.312
0.013344764709472656,0,0,25644,1602.750
0.017192363739013672,0,0,25618,1601.125
0.021178722381591797,0,0,25596,1599.750
0.02517414093017578,0,0,25579,1598.688
0.029254436492919922,0,0,25568,1598.000
0.033173322677612305,0,0,25554,1597.125
0.03717207908630371,0,0,25536,1596.000
0.04117393493652344,0,0,25521,1595.062
0.045172929763793945,0,0,25511,1594.438
0.049173831939697266,0,0,25506,1594.125
0.053171396255493164,0,0,25497,1593.562
0.057172298431396484,0,0,25485,1592.812
0.0611729621887207,0,0,25474,1592.125
0.0651710033416748,0,0,25468,1591.750
0.06918072700500488,0,0,25465,1591.562
0.07317876815795898,0,0,25461,1591.312
0.07717776298522949,0,0,25452,1590.750
0.08118176460266113,0,0,25443,1590.188
0.08517932891845703,0,0,25439,1589.938
0.08918190002441406,0,0,25439,1589.938
0.09317755699157715,0,0,25435,1589.688
0.09717917442321777,0,0,25428,1589.250
0.10118436813354492,0,0,25420,1588.750
0.10518074035644531,0,0,25417,1588.562
0.10918045043945312,0,0,25419,1588.688
0.11317920684814453,0,0,25417,1588.562
0.11717772483825684,0,0,25411,1588.188
0.12118005752563477,0,0,25404,1587.750
0.12517833709716797,0,0,25402,1587.625
0.1291799545288086,0,0,25403,1587.688
0.1331772804260254,0,0,25402,1587.625
0.1371762752532959,0,0,25397,1587.312
0.14118218421936035,0,0,25391,1586.938
0.14517831802368164,0,0,25389,1586.812
0.14917969703674316,0,0,25391,1586.938
0.15317869186401367,0,0,25390,1586.875
0.15717554092407227,0,0,25386,1586.625
0.16118121147155762,0,0,25379,1586.188
0.165177583694458,0,0,25378,1586.125
0.16917872428894043,0,0,25380,1586.250
0.17317676544189453,0,0,25380,1586.250
0.17717719078063965,0,0,25376,1586.000
0.1811814308166504,0,0,25369,1585.562
0.18517732620239258,0,0,25368,1585.500
0.18917393684387207,0,0,25370,1585.625
0.19317054748535156,0,0,25370,1585.625
0.19717001914978027,0,0,25366,1585.375
0.20117783546447754,0,0,25360,1585.000
0.2053215503692627,0,0,25358,1584.875
0.2092149257659912,0,0,25362,1585.125
0.21317362785339355,0,0,25362,1585.125
0.21717095375061035,0,0,25358,1584.875
0.22118091583251953,0,0,25352,1584.500
0.22517895698547363,0,0,25350,1584.375
0.22917461395263672,0,0,25353,1584.562
0.23318982124328613,0,0,25354,1584.625
0.23717021942138672,0,0,25350,1584.375
0.2411816120147705,0,0,25344,1584.000
0.24517822265625,0,0,25342,1583.875
0.2491745948791504,0,0,25345,1584.062
0.25316905975341797,0,0,25346,1584.125
0.2571694850921631,0,0,25343,1583.938
0.2611839771270752,0,0,25337,1583.562
0.2651803493499756,0,0,25335,1583.438
0.26917409896850586,0,0,25338,1583.625
0.27316904067993164,0,0,25340,1583.750
0.27716946601867676,0,0,25336,1583.500
0.28117895126342773,0,0,25330,1583.125
0.28517627716064453,0,0,25329,1583.062
0.28917455673217773,0,0,25331,1583.188
0.2931694984436035,0,0,25332,1583.250
