Timestamp,LO_plus,LO_minus,Raw_ADC,Voltage_mV
1764838833.9028337,0,0,3,0.375
1764838833.9046125,1,1,3,0.375
1764838833.9063153,1,1,5,0.625
1764838833.9089942,0,0,5,0.625
1764838833.91303,0,0,13,1.625
1764838833.917005,0,0,15,1.875
1764838833.921001,0,0,14,1.750
1764838833.925042,1,1,16,2.000
1764838833.9290035,0,0,20,2.500
1764838833.9329982,0,0,22,2.750
1764838833.9370062,0,0,22,2.750
1764838833.9410026,0,0,21,2.625
1764838833.9449966,1,1,21,2.625
1764838833.9489937,0,0,24,3.000
1764838833.9529955,0,0,27,3.375
1764838833.9569926,0,0,26,3.250
1764838833.9609988,0,0,25,3.125
1764838833.9649956,1,1,26,3.250
1764838833.9689941,0,0,28,3.500
1764838833.9730117,0,0,29,3.625
1764838833.9770534,0,0,29,3.625
1764838833.9810169,0,0,27,3.375
1764838833.9849966,1,1,27,3.375
1764838833.988992,0,0,29,3.625
1764838833.9930096,0,0,30,3.750
1764838833.997004,0,0,31,3.875
1764838834.0010028,0,0,28,3.500
1764838834.0049953,1,1,28,3.500
1764838834.0089955,0,0,30,3.750
1764838834.0130663,0,0,32,4.000
1764838834.017013,0,0,31,3.875
1764838834.0210009,0,0,29,3.625
1764838834.0249944,1,1,29,3.625
1764838834.0289936,0,0,31,3.875
1764838834.0330038,0,0,32,4.000
1764838834.0370033,0,0,31,3.875
1764838834.0410466,0,0,30,3.750
1764838834.0450225,1,1,29,3.625
1764838834.0489957,0,0,30,3.750
1764838834.052991,0,0,32,4.000
1764838834.0569925,0,0,32,4.000
1764838834.0609996,0,0,29,3.625
1764838834.0650027,1,1,29,3.625
1764838834.0690014,0,0,30,3.750
1764838834.0730627,0,0,32,4.000
1764838834.0770118,0,0,31,3.875
1764838834.0810058,0,0,30,3.750
1764838834.0849938,1,1,29,3.625
1764838834.0889926,0,0,31,3.875
1764838834.0930033,0,0,32,4.000
1764838834.0970638,0,0,32,4.000
1764838834.101064,0,0,30,3.750
1764838834.1050026,1,1,29,3.625
1764838834.108994,0,0,30,3.750
1764838834.113004,0,0,32,4.000
1764838834.1170013,0,0,32,4.000
1764838834.1210394,0,0,29,3.625
1764838834.1250327,1,1,29,3.625
1764838834.1289968,0,0,30,3.750
1764838834.1329994,0,0,32,4.000
1764838834.1369932,0,0,32,4.000
1764838834.1409967,0,0,30,3.750
1764838834.1450016,1,1,29,3.625
1764838834.1490018,0,0,30,3.750
1764838834.1530588,0,0,32,4.000
1764838834.1570113,0,0,32,4.000
1764838834.161005,0,0,30,3.750
1764838834.16499,1,1,29,3.625
1764838834.168994,0,0,29,3.625
1764838834.173003,0,0,32,4.000
1764838834.1770012,0,0,32,4.000
1764838834.1810346,0,0,30,3.750
1764838834.1850264,1,1,29,3.625
1764838834.1890016,0,0,30,3.750
1764838834.1930053,0,0,32,4.000
1764838834.1969929,0,0,31,3.875
1764838834.2009983,0,0,30,3.750
1764838834.2049994,1,1,29,3.625
1764838834.209,0,0,30,3.750
1764838834.2130477,0,0,32,4.000
1764838834.2170105,0,0,32,4.000
1764838834.220999,0,0,31,3.875
1764838834.2249918,1,1,29,3.625
1764838834.2289903,0,0,30,3.750
1764838834.2330022,0,0,32,4.000
1764838834.2369995,0,0,32,4.000
1764838834.2410393,0,0,30,3.750
1764838834.2453172,1,1,29,3.625
1764838834.2490501,0,0,30,3.750
1764838834.2530053,0,0,32,4.000
1764838834.2569978,0,0,32,4.000
1764838834.2610009,0,0,30,3.750
1764838834.2649977,1,1,29,3.625
1764838834.2689962,0,0,30,3.750
1764838834.2730541,0,0,32,4.000
1764838834.2770061,0,0,32,4.000
1764838834.2809994,0,0,31,3.875
1764838834.2849941,1,1,30,3.750
1764838834.28899,0,0,30,3.750
1764838834.292998,0,0,32,4.000
1764838834.2970622,0,0,33,4.125
1764838834.3010364,0,0,31,3.875
1764838834.3051722,1,1,29,3.625
1764838834.308993,0,0,30,3.750
1764838834.3129892,0,0,32,4.000
1764838834.3169887,0,0,32,4.000
1764838834.321029,0,0,31,3.875
1764838834.3250158,1,1,30,3.750
1764838834.328989,0,0,30,3.750
1764838834.3329887,0,0,32,4.000
1764838834.336988,0,0,33,4.125
1764838834.3409972,0,0,31,3.875
1764838834.3449998,1,1,29,3.625
1764838834.348999,0,0,29,3.625
1764838834.353059,0,0,32,4.000
1764838834.3570094,0,0,33,4.125
1764838834.3609998,0,0,31,3.875
1764838834.36499,1,1,29,3.625
1764838834.3689895,0,0,29,3.625
1764838834.3730664,0,0,32,4.000
1764838834.3770103,0,0,33,4.125
1764838834.3810015,0,0,31,3.875
1764838834.384991,1,1,29,3.625
1764838834.3889897,0,0,30,3.750
1764838834.3930452,0,0,32,4.000
1764838834.3970027,0,0,32,4.000
1764838834.4010003,0,0,31,3.875
1764838834.40499,1,1,29,3.625
1764838834.409114,0,0,29,3.625
1764838834.4131124,0,0,31,3.875
1764838834.4171066,0,0,33,4.125
1764838834.4211056,0,0,32,4.000
1764838834.4250913,1,1,28,3.500
1764838834.4290917,0,0,28,3.500
1764838834.4331734,0,0,32,4.000
1764838834.4371114,0,0,33,4.125
1764838834.4411056,0,0,32,4.000
1764838834.4451573,1,1,29,3.625
1764838834.4491148,0,0,29,3.625
1764838834.453106,0,0,32,4.000
1764838834.4570892,0,0,32,4.000
1764838834.4610975,0,0,32,4.000
1764838834.4651723,1,1,29,3.625
1764838834.4691157,0,0,29,3.625
1764838834.4731057,0,0,31,3.875
1764838834.477093,0,0,33,4.125
1764838834.481099,0,0,32,4.000
1764838834.4851043,1,1,29,3.625
1764838834.4891062,0,0,29,3.625
1764838834.4931068,0,0,32,4.000
1764838834.4971771,0,0,33,4.125
1764838834.501146,0,0,32,4.000
1764838834.505131,1,1,29,3.625
1764838834.509171,0,0,29,3.625
1764838834.5131247,0,0,32,4.000
1764838834.5171094,0,0,33,4.125
1764838834.5211072,0,0,32,4.000
1764838834.5250888,1,1,28,3.500
1764838834.529086,0,0,29,3.625
1764838834.5331073,0,0,31,3.875
1764838834.5371065,0,0,32,4.000
1764838834.5411067,0,0,32,4.000
1764838834.5451455,1,1,29,3.625
1764838834.5490963,0,0,29,3.625
1764838834.553095,0,0,31,3.875
1764838834.5570908,0,0,33,4.125
1764838834.561102,0,0,32,4.000
1764838834.565159,1,1,30,3.750
1764838834.5691144,0,0,29,3.625
1764838834.5731008,0,0,31,3.875
1764838834.57709,0,0,33,4.125
1764838834.581106,0,0,32,4.000
1764838834.5851057,1,1,29,3.625
1764838834.5891044,0,0,29,3.625
1764838834.5931685,0,0,33,4.125
1764838834.5971148,0,0,32,4.000
1764838834.6011064,0,0,29,3.625
1764838834.605101,1,1,29,3.625
1764838834.6091,0,0,31,3.875
1764838834.6131082,0,0,33,4.125
1764838834.6171055,0,0,32,4.000
1764838834.6211061,0,0,29,3.625
1764838834.6250906,1,1,29,3.625
1764838834.6290858,0,0,31,3.875
1764838834.63317,0,0,33,4.125
1764838834.6371107,0,0,32,4.000
1764838834.6411066,0,0,29,3.625
1764838834.6451015,1,1,29,3.625
1764838834.6490996,0,0,31,3.875
1764838834.6531029,0,0,32,4.000
1764838834.6570976,0,0,32,4.000
1764838834.6611032,0,0,30,3.750
1764838834.6651022,1,1,29,3.625
1764838834.6691015,0,0,30,3.750
1764838834.6731029,0,0,32,4.000
1764838834.6771016,0,0,33,4.125
