Timestamp,LO_plus,LO_minus,Raw_ADC,Voltage_mV
1764974977.4089901,0,0,0,0.000
1764974977.410833,0,0,0,0.000
1764974977.4125416,0,0,9,1.125
1764974977.415131,0,0,12,1.500
1764974977.4191332,0,0,10,1.250
1764974977.423124,1,1,1,0.125
1764974977.427158,0,0,3,0.375
1764974977.4311347,0,0,12,1.500
1764974977.435129,0,0,15,1.875
1764974977.4391325,0,0,13,1.625
1764974977.443128,1,1,5,0.625
1764974977.447126,0,0,6,0.750
1764974977.4511304,0,0,14,1.750
1764974977.4551268,0,0,17,2.125
1764974977.4591398,0,0,15,1.875
1764974977.463155,1,1,6,0.750
1764974977.467127,0,0,6,0.750
1764974977.4711285,0,0,15,1.875
1764974977.4751256,0,0,17,2.125
1764974977.4791331,0,0,16,2.000
1764974977.4831376,1,1,9,1.125
1764974977.487135,0,0,9,1.125
1764974977.491165,0,0,16,2.000
1764974977.4951322,0,0,18,2.250
1764974977.4991364,0,0,17,2.125
1764974977.5031357,1,1,10,1.250
1764974977.5071363,0,0,9,1.125
1764974977.5111325,0,0,17,2.125
1764974977.5151248,0,0,19,2.375
1764974977.519134,0,0,17,2.125
1764974977.523176,1,1,11,1.375
1764974977.5271397,0,0,9,1.125
1764974977.5311267,0,0,17,2.125
1764974977.5351238,0,0,20,2.500
1764974977.5391314,0,0,19,2.375
1764974977.5431345,1,1,12,1.500
1764974977.547135,0,0,9,1.125
1764974977.5511718,0,0,18,2.250
1764974977.555141,0,0,21,2.625
1764974977.5591338,0,0,19,2.375
1764974977.563125,1,1,13,1.625
1764974977.5671244,0,0,10,1.250
1764974977.571136,0,0,19,2.375
1764974977.575134,0,0,22,2.750
1764974977.5791366,0,0,20,2.500
1764974977.5831704,1,1,14,1.750
1764974977.58714,0,0,10,1.250
1764974977.5911345,0,0,20,2.500
1764974977.595125,0,0,23,2.875
1764974977.5991268,0,0,22,2.750
1764974977.6031885,1,1,15,1.875
1764974977.607159,0,0,10,1.250
1764974977.6111815,0,0,20,2.500
1764974977.615139,0,0,24,3.000
1764974977.6191373,0,0,23,2.875
1764974977.6231215,1,1,16,2.000
1764974977.627137,0,0,10,1.250
1764974977.631189,0,0,21,2.625
1764974977.6351438,0,0,24,3.000
1764974977.6391373,0,0,23,2.875
1764974977.6431234,1,1,17,2.125
1764974977.6471214,0,0,12,1.500
1764974977.6511357,0,0,21,2.625
1764974977.655132,0,0,25,3.125
1764974977.6591735,0,0,24,3.000
1764974977.6631284,1,1,19,2.375
1764974977.6671228,0,0,12,1.500
1764974977.6711338,0,0,23,2.875
1764974977.6751325,0,0,26,3.250
1764974977.679132,0,0,25,3.125
1764974977.683122,1,1,19,2.375
1764974977.687121,0,0,12,1.500
1764974977.691126,0,0,22,2.750
1764974977.695124,0,0,26,3.250
1764974977.6991262,0,0,26,3.250
1764974977.7031252,1,1,21,2.625
1764974977.707152,0,0,13,1.625
1764974977.7111375,0,0,22,2.750
1764974977.7151716,0,0,27,3.375
