Timestamp,LO_plus,LO_minus,Raw_ADC,Voltage_mV
1764837618.2222762,1,1,1273,159.125
1764837618.2241213,0,0,1273,159.125
1764837618.225842,0,0,-871,-108.875
1764837618.2284043,0,0,-871,-108.875
1764837618.2324195,0,0,2552,319.000
1764837618.2364075,0,0,3044,380.500
1764837618.2404017,1,1,1161,145.125
1764837618.2444468,0,0,-835,-104.375
1764837618.2484107,0,0,-1194,-149.250
1764837618.252401,0,0,2586,323.250
1764837618.2564027,0,0,3220,402.500
1764837618.2604055,1,1,1292,161.500
1764837618.2644007,0,0,-720,-90.000
1764837618.2683983,0,0,-1427,-178.375
1764837618.2724009,0,0,925,115.625
1764837618.2763996,0,0,2021,252.625
1764837618.2804031,1,1,890,111.250
1764837618.2844045,0,0,-684,-85.500
1764837618.288448,0,0,-1560,-195.000
1764837618.2924075,0,0,2370,296.250
1764837618.2964044,0,0,3113,389.125
1764837618.3004153,1,1,1258,157.250
1764837618.3044093,0,0,-719,-89.875
1764837618.308406,0,0,-1331,-166.375
1764837618.3124018,0,0,2265,283.125
1764837618.3164017,0,0,3292,411.500
1764837618.3204203,1,1,1440,180.000
1764837618.3244095,0,0,-601,-75.125
1764837618.3284202,0,0,-1318,-164.750
1764837618.3324454,0,0,2556,319.500
1764837618.3364158,0,0,3706,463.250
1764837618.3404088,1,1,1659,207.375
1764837618.3443995,0,0,-496,-62.000
1764837618.3484075,0,0,-1405,-175.625
1764837618.3524494,0,0,2462,307.750
1764837618.3564312,0,0,3712,464.000
1764837618.36041,1,1,1674,209.250
1764837618.3644001,0,0,-396,-49.500
1764837618.3684058,0,0,-1493,-186.625
1764837618.372415,0,0,3244,405.500
1764837618.3764153,0,0,4301,537.625
1764837618.380411,1,1,1843,230.375
1764837618.384441,0,0,-473,-59.125
1764837618.3884275,0,0,-1484,-185.500
1764837618.3923988,0,0,3037,379.625
1764837618.3963995,0,0,4431,553.875
1764837618.4004142,1,1,2019,252.375
1764837618.4044101,0,0,-337,-42.125
1764837618.4084074,0,0,-1682,-210.250
1764837618.4123976,0,0,3050,381.250
1764837618.4164708,0,0,4511,563.875
1764837618.42041,1,1,2049,256.125
1764837618.4244492,0,0,-335,-41.875
1764837618.4284146,0,0,-1403,-175.375
1764837618.4324176,0,0,4085,510.625
1764837618.4364123,0,0,5500,687.500
1764837618.4404063,1,1,2474,309.250
1764837618.4444,0,0,-360,-45.000
1764837618.4484062,0,0,-1664,-208.000
1764837618.4524047,0,0,3013,376.625
1764837618.4565032,0,0,4709,588.625
1764837618.4604156,1,1,2157,269.625
1764837618.4644,0,0,-377,-47.125
1764837618.4684126,0,0,-1578,-197.250
1764837618.4724085,0,0,2797,349.625
1764837618.4764066,0,0,4843,605.375
1764837618.480402,1,1,2356,294.500
1764837618.484398,0,0,-250,-31.250
1764837618.4884071,0,0,-1685,-210.625
1764837618.4923968,0,0,2521,315.125
1764837618.496424,0,0,4661,582.625
1764837618.5004385,1,1,2272,284.000
1764837618.5044098,0,0,-259,-32.375
1764837618.5084095,0,0,-1752,-219.000
1764837618.5124097,0,0,2699,337.375
1764837618.5164044,0,0,4943,617.875
1764837618.5204067,1,1,2421,302.625
1764837618.5244577,0,0,-262,-32.750
1764837618.5284207,0,0,-1684,-210.500
1764837618.5323992,0,0,4056,507.000
1764837618.5363972,0,0,6446,805.750
1764837618.540412,1,1,3196,399.500
1764837618.5444474,0,0,-201,-25.125
1764837618.5484138,0,0,-1777,-222.125
1764837618.552399,0,0,3791,473.875
1764837618.5563955,0,0,6407,800.875
1764837618.56041,1,1,3229,403.625
1764837618.5644062,0,0,-211,-26.375
1764837618.5684023,0,0,-1708,-213.500
1764837618.5723982,0,0,2212,276.500
1764837618.5763977,0,0,4999,624.875
1764837618.580399,1,1,2584,323.000
1764837618.5843968,0,0,-268,-33.500
1764837618.5884068,0,0,-1827,-228.375
1764837618.5924084,0,0,2983,372.875
1764837618.596428,0,0,5944,743.000
1764837618.6004422,1,1,3103,387.875
1764837618.6044104,0,0,-218,-27.250
1764837618.608406,0,0,-1722,-215.250
1764837618.6123965,0,0,2424,303.000
1764837618.616461,0,0,5634,704.250
1764837618.6204054,1,1,3048,381.000
1764837618.6243958,0,0,-183,-22.875
1764837618.6284025,0,0,-1721,-215.125
1764837618.6324036,0,0,2516,314.500
1764837618.6364436,0,0,5943,742.875
1764837618.640414,1,1,3301,412.625
1764837618.644395,0,0,-120,-15.000
1764837618.6484048,0,0,-1641,-205.125
1764837618.6524394,0,0,1433,179.125
1764837618.6564243,0,0,4932,616.500
1764837618.6604016,1,1,2837,354.625
