Timestamp,LO_plus,LO_minus,Raw_ADC,Voltage_mV
1764836679.0815291,1,1,10,1.250
1764836679.0833538,0,0,10,1.250
1764836679.0850782,0,0,10,1.250
1764836679.0876522,0,0,0,0.000
1764836679.0916438,1,1,-9,-1.125
1764836679.0956438,1,1,5,0.625
1764836679.0996404,1,1,10,1.250
1764836679.10364,0,0,11,1.375
1764836679.107664,0,0,4,0.500
1764836679.1116471,1,1,-6,-0.750
1764836679.1156414,1,1,7,0.875
1764836679.1196415,1,1,12,1.500
1764836679.1236408,0,0,13,1.625
1764836679.127648,0,0,5,0.625
1764836679.131641,1,1,-9,-1.125
1764836679.1356924,1,1,6,0.750
1764836679.1396494,1,1,12,1.500
1764836679.1436388,0,0,14,1.750
1764836679.1476543,1,1,6,0.750
1764836679.1516516,1,1,-7,-0.875
1764836679.1556528,1,1,7,0.875
1764836679.1596358,1,1,14,1.750
1764836679.1636374,0,0,16,2.000
1764836679.1676989,1,1,10,1.250
1764836679.1716504,1,1,-3,-0.375
1764836679.1756468,1,1,9,1.125
1764836679.1796396,1,1,15,1.875
1764836679.183638,0,0,16,2.000
1764836679.1876423,1,1,11,1.375
1764836679.1916633,1,1,-2,-0.250
1764836679.195703,1,1,11,1.375
1764836679.1996496,1,1,17,2.125
1764836679.203639,0,0,18,2.250
1764836679.2076519,1,1,14,1.750
1764836679.2116475,1,1,4,0.500
1764836679.2156508,1,1,12,1.500
1764836679.219639,1,1,19,2.375
1764836679.2236388,0,0,19,2.375
1764836679.2276456,1,1,15,1.875
1764836679.2316384,1,1,3,0.375
1764836679.2358608,1,1,12,1.500
1764836679.2396574,1,1,18,2.250
1764836679.2436404,0,0,20,2.500
1764836679.2476504,1,1,15,1.875
1764836679.2516482,1,1,1,0.125
1764836679.2556496,1,1,12,1.500
1764836679.25964,1,1,20,2.500
1764836679.263639,0,0,22,2.750
1764836679.2676444,1,1,18,2.250
1764836679.2716389,1,1,3,0.375
1764836679.2757804,1,1,13,1.625
1764836679.2796514,1,1,22,2.750
1764836679.2836912,0,0,22,2.750
1764836679.2876554,1,1,18,2.250
1764836679.2916384,1,1,1,0.125
1764836679.295642,1,1,12,1.500
1764836679.2996473,1,1,21,2.625
1764836679.3037565,0,0,22,2.750
1764836679.3076577,1,1,20,2.500
1764836679.3116426,1,1,3,0.375
1764836679.315641,1,1,12,1.500
1764836679.319646,1,1,21,2.625
1764836679.3236477,0,0,23,2.875
1764836679.327695,1,1,21,2.625
1764836679.3316655,1,1,9,1.125
1764836679.3356502,1,1,16,2.000
1764836679.3396382,1,1,23,2.875
1764836679.3436365,0,0,24,3.000
1764836679.3476503,1,1,22,2.750
1764836679.3516462,1,1,7,0.875
1764836679.355648,1,1,14,1.750
1764836679.3596673,1,1,23,2.875
1764836679.3636782,0,0,25,3.125
1764836679.3676462,1,1,21,2.625
1764836679.3716383,1,1,3,0.375
1764836679.3756413,1,1,12,1.500
1764836679.3796473,1,1,23,2.875
1764836679.3836453,0,0,26,3.250
1764836679.3876407,1,1,23,2.875
1764836679.391638,1,1,7,0.875
1764836679.3956943,1,1,14,1.750
1764836679.3996453,1,1,23,2.875
1764836679.4036365,0,0,26,3.250
1764836679.4078343,1,1,24,3.000
1764836679.4118388,1,1,7,0.875
1764836679.41567,1,1,14,1.750
1764836679.4196403,1,1,25,3.125
1764836679.4236374,0,0,27,3.375
1764836679.427642,1,1,25,3.125
1764836679.4316359,1,1,8,1.000
1764836679.4356968,1,1,14,1.750
1764836679.439648,1,1,24,3.000
1764836679.4436376,0,0,27,3.375
1764836679.4476473,1,1,26,3.250
1764836679.4516459,1,1,12,1.500
1764836679.4556458,1,1,17,2.125
1764836679.4596357,1,1,25,3.125
1764836679.4636908,0,0,28,3.500
1764836679.467649,1,1,26,3.250
1764836679.4716365,1,1,14,1.750
1764836679.4756863,1,1,17,2.125
1764836679.4796467,1,1,26,3.250
1764836679.4836357,0,0,28,3.500
1764836679.4876473,1,1,28,3.500
1764836679.491643,1,1,18,2.250
1764836679.4956608,1,1,20,2.500
1764836679.4996405,1,1,27,3.375
1764836679.5036356,0,0,29,3.625
1764836679.507642,1,1,29,3.625
1764836679.5116372,1,1,16,2.000
1764836679.5156837,1,1,16,2.000
1764836679.5196445,1,1,27,3.375
1764836679.523635,0,0,29,3.625
1764836679.5276463,1,1,28,3.500
1764836679.5316465,1,1,17,2.125
1764836679.5356472,1,1,18,2.250
1764836679.539632,1,1,28,3.500
1764836679.543632,0,0,31,3.875
1764836679.547639,1,1,29,3.625
1764836679.5516555,1,1,17,2.125
1764836679.5557473,1,1,18,2.250
1764836679.5596442,1,1,27,3.375
1764836679.5636346,0,0,31,3.875
1764836679.5676465,1,1,30,3.750
1764836679.5716448,1,1,16,2.000
1764836679.5756488,1,1,15,1.875
1764836679.5796347,1,1,27,3.375
1764836679.5836916,0,0,29,3.625
1764836679.587653,1,1,21,2.625
1764836679.5916395,1,1,20,2.500
1764836679.5956407,1,1,29,3.625
1764836679.5997021,1,1,31,3.875
1764836679.603724,0,0,30,3.750
1764836679.6077144,1,1,20,2.500
1764836679.6117053,1,1,18,2.250
1764836679.6157095,1,1,29,3.625
1764836679.6197102,1,1,31,3.875
1764836679.6237066,0,0,31,3.875
1764836679.6277251,1,1,20,2.500
1764836679.631725,1,1,17,2.125
1764836679.635994,1,1,28,3.500
1764836679.6397166,1,1,32,4.000
1764836679.6437063,0,0,32,4.000
1764836679.647726,1,1,19,2.375
1764836679.651718,1,1,14,1.750
1764836679.6557205,1,1,27,3.375
1764836679.659707,1,1,33,4.125
1764836679.6637063,0,0,32,4.000
1764836679.667711,1,1,16,2.000
1764836679.671728,1,1,8,1.000
1764836679.6758769,1,1,25,3.125
1764836679.6797154,1,1,32,4.000
1764836679.6837647,0,0,32,4.000
1764836679.6877272,1,1,23,2.875
1764836679.691708,1,1,17,2.125
1764836679.6957133,1,1,29,3.625
1764836679.699718,1,1,34,4.250
1764836679.7038476,0,0,33,4.125
1764836679.7077608,1,1,26,3.250
1764836679.711755,1,1,20,2.500
1764836679.7158113,1,1,30,3.750
1764836679.719742,1,1,34,4.250
1764836679.723735,0,0,33,4.125
1764836679.727755,1,1,26,3.250
1764836679.7317536,1,1,20,2.500
1764836679.7359521,1,1,30,3.750
1764836679.7397532,1,1,33,4.125
1764836679.7437341,0,0,32,4.000
1764836679.747768,1,1,26,3.250
1764836679.7517521,1,1,21,2.625
1764836679.7557526,1,1,29,3.625
1764836679.7597332,1,1,33,4.125
1764836679.7637444,0,0,34,4.250
1764836679.7677402,1,1,28,3.500
1764836679.7717378,1,1,21,2.625
1764836679.7757359,1,1,30,3.750
1764836679.7797506,1,1,34,4.250
1764836679.783749,0,0,34,4.250
1764836679.7878861,1,1,28,3.500
1764836679.791761,1,1,22,2.750
1764836679.7957563,1,1,30,3.750
1764836679.799735,1,1,34,4.250
1764836679.8037734,0,0,34,4.250
1764836679.8077521,1,1,26,3.250
1764836679.811802,1,1,16,2.000
1764836679.8157632,1,1,28,3.500
1764836679.8197496,1,1,33,4.125
1764836679.8237355,0,0,34,4.250
1764836679.8277535,1,1,28,3.500
1764836679.8317473,1,1,17,2.125
1764836679.8357482,1,1,28,3.500
1764836679.8397334,1,1,33,4.125
1764836679.8437467,0,0,34,4.250
1764836679.84774,1,1,30,3.750
1764836679.8517323,1,1,24,3.000
1764836679.8557873,1,1,30,3.750
1764836679.8599644,1,1,34,4.250
1764836679.8637638,0,0,34,4.250
1764836679.8677466,1,1,29,3.625
